date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:56	206212/206212	---MCZ	200	added ('OK')	text/html	etag:W/%22ded3791164e944df2a96a3ec9b54460f%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/_https_/www.google.com_/%26gt%3b%26lt%3blink.html	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/_https_/www.google.com_/&gt;&lt;link.html	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:57	206226/206226	---MCZ	200	added ('OK')	text/html	etag:W/%22594cc500af44bb88a7aefc3e87c8fffd%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/_https_/data.mercadolibre.com_/%26gt%3b%26lt%3blink.html	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/_https_/data.mercadolibre.com_/&gt;&lt;link.html	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:57	206192/206192	---MCZ	200	added ('OK')	text/html	etag:W/%222e487bc8ec2a1f7ac50ccad01ca47931%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/_https_/http2.mlstatic.com_/%26gt_.html	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/_https_/http2.mlstatic.com_/&gt_.html	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:57	242729/242729	---M--	200	added ('OK')	application/octet-stream	etag:%2227ed98c0fb3253ec010259660da61493%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.oembed	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.oembed	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:57	3714/3714	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f2861aab7580613e8b9e844b61095f9%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/checkouts/internal/preloads4c334c33.js?locale=pt-BR	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/checkouts/internal/preloads4c334c334c33.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:58	0/0	---M--	200	added ('OK')	application/javascript	etag:%22d41d8cd98f00b204e9800998ecf8427e%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/shop.app/checkouts/internal/preloads7ac07ac0.js?locale=pt-BR&shop_id=69857476859	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/shop.app/checkouts/internal/preloads7ac07ac07ac0.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:58	12547/12547	---MCZ	200	added ('OK')	application/javascript	etag:W/%22009977dcdd3cb41b031746f155f48c22%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:58	37678/37678	---MCZ	200	added ('OK')	application/javascript	etag:W/%22102ec6ed5afd7ba641d65dfab03e8aef%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:58	609409/609409	---MCZ	200	added ('OK')	text/css	etag:W/%22c48ec50bbb2450a259e5938945f71771%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/t/2/assets/mobile329c329c.css?v=44203832052130417581714061211	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/t/2/assets/mobile329c329c329c.css	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:59	268/268	---M--	200	added ('OK')	text/css	etag:%22f0bc318b0686d27f9e112a47ab2176ad%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/t/2/assets/tamanhod84bd84b.css?v=177359468726002113431714061212	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/t/2/assets/tamanhod84bd84bd84b.css	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:59	57722/57722	---MCZ	200	added ('OK')	text/css	etag:W/%225262b4c70111aafc2666a3c7d88865e0%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/t/2/assets/catalizador244d244d.css?v=48533984014445982191714061211	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/t/2/assets/catalizador244d244d244d.css	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:53:59	3661/3661	---M--	200	added ('OK')	image/jpeg	etag:%22ca601d3dfb62f1f15f21b5d06d60ef10%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.5.18/mercadolibre/modal-logo-120x120.jpg	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/http2.mlstatic.com/frontend-assets/ml-web-navigation/ui-navigation/6.5.18/mercadolibre/modal-logo-120x120.jpg	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:01	242298/242298	---M--	200	added ('OK')	image/png	etag:%22ea12f0b6fab6fa6fa86365646783eb12%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/IMG_6499_500x500b2c0b2c0.png?v=1714142763	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/cdn/shop/files/IMG_6499_500x500b2c0b2c0b2c0.png	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
18:54:01	9/9	---M--	200	added ('OK')	image/png	etag:%229d1ead73e678fa2f51a70a933b0bf017%22	https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/icone-seta.png	E:/Meus%20Sites/mercadolivre3/ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/icone-seta.png	(from https://ofertaml.vercel.app/ofertamlshop.vercel.app/ofertaml.shop/products/kit-5-azeite-de-oliva-extra-virgem-portugues-andorinha-classicos-vidro-500ml.html)
